TEMPERATURA,UMIDADE,PRESSÃO RELATIVA,PRESSÃO ABSOLUTA,LUMINOSIDADE,TIMER,RSSI INTERNET_NODO,NODE_NETWORK_INFO,GATEWAY_NETWORK_INFO,RSSI INTERNET_GATEWAY,timestamp
14.8,78,1014.6,1017.86,805,2120,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:14:35
14.8,78,1014.6,1017.86,805,2120,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:14:51
14.8,78,1014.6,1017.86,805,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:15:07
14.8,78,1014.66,1017.91,797,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:15:24
14.8,78,1014.66,1017.91,797,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:15:40
14.8,78,1014.61,1017.86,801,2128,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:15:56
14.8,78,1014.61,1017.86,801,2128,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:16:14
14.8,79,1014.59,1017.85,801,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:16:30
14.8,79,1014.59,1017.85,801,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:16:47
14.8,79,1014.59,1017.85,801,2103,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:17:03
14.8,79,1014.65,1017.91,798,2141,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:17:19
14.8,79,1014.65,1017.91,798,2141,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:17:36
14.8,79,1014.6,1017.86,798,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:17:52
14.8,79,1014.6,1017.86,798,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:18:09
15.2,79,1014.6,1017.85,798,2160,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 02:18:26
